Name,ID,Club,Position,age,Projected_2017
Ryan Davis,734,Gold Coast Suns,FWD,27,66.17644294
Brad Ebert,738,Port Adelaide,MID,26,86.70881807
Jarrad Grant,743,Gold Coast Suns,FWD,27,61.29220728
Levi Greenwood,744,Collingwood,"MID,FWD",27,83.26066009
Pearce Hanley,748,Gold Coast Suns,MID,28,86.22727273
Lachie Henderson,751,Geelong Cats,DEF,27,87.00480206
Cale Hooker,754,Essendon,"DEF,FWD",28,96.40909091
Matthew Kreuzer,759,Carlton,RUC,27,82.77545811
Jeremy Laidler,760,Sydney Swans,DEF,27,63.72194952
Matthew Lobbe,761,Port Adelaide,RUC,27,79.47608464
Stefan Martin,765,Brisbane Lions,RUC,30,102.2
Chris Masten,766,West Coast Eagles,MID,27,75.19660316
Chris Mayne,767,Collingwood,FWD,28,81.86363636
Ben McEvoy,769,Hawthorn,RUC,27,81.51393296
Shane Mumford,780,GWS Giants,RUC,30,101.8095238
Rhys Palmer,788,Carlton,FWD,27,68.82369567
Alex Rance,794,Richmond,DEF,27,107.0889294
Cyril Rioli,796,Hawthorn,FWD,27,97.92397473
Dawson Simpson,804,GWS Giants,RUC,27,50.69147706
Jake Spencer,808,Melbourne,RUC,27,81.95061475
Jack Steven,809,St Kilda,MID,26,115.1467837
Robbie Tarrant,813,North Melbourne,DEF,27,94.29679972
Harry Taylor,814,Geelong Cats,DEF,30,84.40909091
Scott Thompson,816,North Melbourne,DEF,30,75.05263158
Taylor Walker,820,Adelaide Crows,FWD,26,81.30459569
Callan Ward,822,GWS Giants,MID,26,116.8509561
Easton Wood,830,Western Bulldogs,DEF,27,86.41750549
Hayden Ballantyne,836,Fremantle,FWD,29,65.15
Jarryd Blair,843,Collingwood,FWD,26,75.17659352
Luke Breust,847,Hawthorn,FWD,26,86.08373553
Matthew Broadbent,848,Port Adelaide,"DEF,MID",26,91.24450472
Zac Clarke,855,Fremantle,RUC,26,64.61683206
Phil Davis,861,GWS Giants,DEF,26,73.70363818
Jeff Garlett,869,Melbourne,FWD,27,60.95563957
Dan Hannebery,875,Sydney Swans,MID,25,118.4366493
Hamish Hartlett,876,Port Adelaide,"DEF,MID",26,88.2914832
Ricky Henderson,879,Hawthorn,"DEF,MID",28,85.44444444
Stephen Hill,881,Fremantle,MID,26,96.06970327
Taylor Hunt,883,Richmond,DEF,26,78.44069843
Michael Hurley,884,Essendon,DEF,26,103.3557531
Neville Jetta,885,Melbourne,DEF,26,79.37451626
Liam Jones,888,Carlton,FWD,25,62.09266437
Tom Lynch,897,Adelaide Crows,FWD,26,95.10466356
Steven Motlop,906,Geelong Cats,FWD,25,81.1279504
Nic Naitanui,909,West Coast Eagles,RUC,26,103.9637281
Liam Picken,915,Western Bulldogs,MID,30,89.86363636
Jack Redden,919,West Coast Eagles,MID,26,70.32244377
Daniel Rich,922,Brisbane Lions,"DEF,MID",26,94.09137187
Mitch Robinson,923,Brisbane Lions,MID,27,96.45815401
Tom Rockliff,924,Brisbane Lions,MID,26,124.3368518
Jordan Roughead,925,Western Bulldogs,RUC,26,82.60739929
Shane Savage,928,St Kilda,DEF,26,87.33609388
Liam Shiels,931,Hawthorn,MID,25,82.15532485
Luke Shuey,932,West Coast Eagles,MID,26,119.3841854
Steele Sidebottom,934,Collingwood,MID,26,114.0966451
Rory Sloane,939,Adelaide Crows,MID,26,120.388704
Rhys Stanley,944,Geelong Cats,"RUC,FWD",26,68.9038354
Nick Suban,949,Fremantle,MID,26,66.47193532
Jackson Trengove,953,Port Adelaide,"DEF,RUC",26,85.55077042
Ty Vickery,957,Hawthorn,FWD,26,59.66499933
Michael Walters,958,Fremantle,FWD,26,89.03149319
Jack Watts,959,Melbourne,FWD,25,88.93137876
Sam Wright,962,North Melbourne,DEF,26,70.04378856
David Zaharakis,965,Essendon,MID,26,98.96482241
Jack Ziebell,966,North Melbourne,MID,25,107.3086834
David Astbury,968,Richmond,DEF,25,79.28827577
Michael Barlow,969,Gold Coast Suns,MID,29,107.4615385
Ryan Bastinac,972,Brisbane Lions,MID,25,86.7150204
Aaron Black,974,Geelong Cats,FWD,26,38.84284838
Jake Carlisle,979,St Kilda,"DEF,FWD",25,77.26290392
Levi Casboult,981,Carlton,FWD,26,56.59234128
Allen Christensen,982,Brisbane Lions,"MID,FWD",25,78.49602486
Travis Colyer,983,Essendon,FWD,25,72.49338766
Stewart Crameri,987,Western Bulldogs,FWD,28,74.17647059
Ben Cunnington,989,North Melbourne,MID,25,90.65081549
Majak Daw,992,North Melbourne,"RUC,FWD",25,73.64774098
Matt Dea,993,Essendon,DEF,25,89.00613688
Mitch Duncan,996,Geelong Cats,MID,25,100.7057825
Taylor Duryea,997,Hawthorn,DEF,25,79.86365869
Nat Fyfe,1000,FRE,MID,25,126
Max Gawn,1001,Melbourne,RUC,25,124.3931124
Ben Griffiths,1004,Richmond,FWD,25,78.0626984
Dylan Grimes,1005,Richmond,DEF,25,68.25113927
Jack Gunston,1007,Hawthorn,FWD,25,99.68995158
Ryan Harwood,1011,Brisbane Lions,DEF,25,63.5285023
Ben Howlett,1017,Essendon,"MID,FWD",28,84.25
Lewis Jetta,1021,West Coast Eagles,"MID,FWD",27,56.29555995
Jamie Macmillan,1031,North Melbourne,DEF,25,85.79153776
Dustin Martin,1034,Richmond,MID,25,111.4643553
Jasper Pittard,1038,Port Adelaide,DEF,25,98.16620522
Jake Melksham,1041,Melbourne,MID,25,68.11710603
Daniel Menzel,1042,Geelong Cats,FWD,25,79.95186809
Sam Reid,1053,Sydney Swans,FWD,25,78.26735297
Dylan Roberton,1056,St Kilda,DEF,25,82.56447897
Gary Rohan,1058,Sydney Swans,FWD,25,64.14246603
Tom Scully,1061,GWS Giants,MID,25,102.7374443
Sam Shaw,1062,Adelaide Crows,DEF,25,43.17281368
Brad Sheppard,1063,West Coast Eagles,DEF,25,74.34035296
Ben Sinclair,1066,Collingwood,DEF,25,65.79458663
Koby Stevens,1067,St Kilda,"MID,FWD",25,92.94852827
Ben Stratton,1068,Hawthorn,DEF,27,68.37517403
Daniel Talia,1072,Adelaide Crows,DEF,25,92.53296107
Zach Tuohy,1079,Geelong Cats,DEF,27,86.28435063
Nathan Vardy,1081,West Coast Eagles,RUC,25,92.10200251
Simon White,1088,Carlton,DEF,28,71.52941176
Matthew Wright,1091,Carlton,FWD,27,92.21263666
Shaun Atley,1096,North Melbourne,DEF,24,67.16725878
Harley Bennell,1099,Fremantle,"MID,FWD",24,98.64692748
Rohan Bewick,1100,Brisbane Lions,MID,27,73.36253966
Josh Caddy,1106,Richmond,"MID,FWD",24,93.05080603
Jonathon Ceglar,1109,Hawthorn,RUC,25,85.43672601
Jamie Cripps,1116,West Coast Eagles,FWD,24,72.6878554
Luke Dahlhaus,1120,Western Bulldogs,"MID,FWD",24,98.05553807
Jack Darling,1121,West Coast Eagles,FWD,24,79.49659123
Sam Day,1124,Gold Coast Suns,"DEF,FWD",24,72.51763701
Charlie Dixon,1128,Port Adelaide,FWD,26,68.39718955
Alex Fasolo,1132,Collingwood,FWD,24,79.19755891
Andrew Gaff,1136,West Coast Eagles,MID,24,94.41534636
Josh Green,1140,Essendon,FWD,24,56.21807551
Cameron Guthrie,1141,Geelong Cats,MID,24,88.5836685
Dyson Heppell,1149,Essendon,MID,24,116.0705438
Michael Hibberd,1150,Melbourne,DEF,27,91.3635332
Tom Hickey,1151,St Kilda,RUC,25,91.17082417
George Horlin-Smith,1154,Geelong Cats,MID,24,59.42527925
Jeremy Howe,1155,Collingwood,DEF,26,100.8731884
Josh Jenkins,1161,Adelaide Crows,FWD,27,94.48205866
Jason Johannisen,1162,Western Bulldogs,DEF,24,100.5881014
Tom Jonas,1166,Port Adelaide,DEF,26,70.48006693
Jed Lamb,1170,Carlton,FWD,24,57.35286481
Will Langford,1171,Hawthorn,MID,24,77.38744021
Ryan Lester,1174,Brisbane Lions,FWD,24,60.56675599
Tom Liberatore,1175,Western Bulldogs,MID,24,95.67410423
Scott Lycett,1179,West Coast Eagles,"RUC,FWD",24,96.60584023
Thomas Lynch,1180,Gold Coast Suns,FWD,24,98.72666943
Jarryd Lyons,1181,Gold Coast Suns,MID,24,99.24294745
Brandon Matera,1187,Gold Coast Suns,FWD,24,64.35824933
Steven May,1188,Gold Coast Suns,DEF,25,95.42835078
Tom McDonald,1190,Melbourne,DEF,24,103.0051318
Jeremy McGovern,1191,West Coast Eagles,DEF,24,92.15014918
Aaron Mullett,1200,North Melbourne,DEF,24,64.12435852
Tom Nicholls,1203,Gold Coast Suns,RUC,24,94.19364621
Luke Parker,1207,Sydney Swans,MID,24,124.8574934
Cameron Pedersen,1209,Melbourne,FWD,29,68.11111111
Jared Polec,1213,Port Adelaide,MID,24,79.1231391
Dion Prestia,1214,Richmond,MID,24,99.33130619
Paul Puopolo,1215,Hawthorn,FWD,29,79.55
Paul Seedsman,1225,Adelaide Crows,MID,25,82.25075554
Matt Shaw,1226,Gold Coast Suns,MID,24,76.4531854
Billie Smedts,1229,Carlton,"MID,FWD",24,42.50859392
Brodie Smith,1230,Adelaide Crows,DEF,25,83.08936045
Isaac Smith,1231,Hawthorn,"MID,FWD",28,87.63636364
Zac Smith,1232,Geelong Cats,RUC,26,81.98012348
David Swallow,1237,Gold Coast Suns,MID,24,96.99381548
Rory Thompson,1240,Gold Coast Suns,DEF,25,65.66621239
Josh Walker,1246,Brisbane Lions,FWD,24,60.6633059
Mitch Wallis,1247,Western Bulldogs,"MID,FWD",24,92.16148934
Maverick Weller,1251,St Kilda,FWD,24,80.96875032
Aaron Young,1254,Port Adelaide,FWD,24,83.76410003
Taylor Adams,1256,Collingwood,"DEF,MID",23,118.7852744
Brendon Ah Chee,1257,Port Adelaide,"MID,FWD",23,75.49566609
Mark Baguley,1261,Essendon,DEF,29,91
Tom Bell,1262,Brisbane Lions,FWD,25,69.29417993
Shane Biggs,1264,Western Bulldogs,DEF,25,79.9735971
Mark Blicavs,1266,Geelong Cats,MID,25,98.8588172
Luke Brown,1270,Adelaide Crows,DEF,24,78.74210969
Josh Bruce,1271,St Kilda,FWD,24,66.10914444
Dylan Buckley,1272,Carlton,FWD,23,59.54186495
Tomas Bugg,1273,Melbourne,MID,23,81.65244054
Matt Buntine,1274,GWS Giants,DEF,23,58.75841936
Jeremy Cameron,1276,GWS Giants,FWD,23,73.00552253
Tom Campbell,1277,Western Bulldogs,RUC,25,90.40895099
Stephen Coniglio,1280,GWS Giants,MID,23,117.2929971
Jack Crisp,1283,Collingwood,MID,23,93.44369236
Hayden Crozier,1284,Fremantle,DEF,23,86.37487646
Harry Cunningham,1285,Sydney Swans,"DEF,FWD",23,67.43435388
Tory Dickson,1292,Western Bulldogs,FWD,29,68.22222222
Sam Docherty,1293,Carlton,DEF,23,121.7901783
Tom Downie,1295,GWS Giants,"RUC,FWD",23,64.76483556
Jamie Elliott,1299,Collingwood,FWD,24,82.08207064
Brandon Ellis,1300,Richmond,MID,23,96.62495629
Sam Frost,1306,Melbourne,DEF,23,58.69313223
Sam Gibson,1308,North Melbourne,MID,30,95.45454545
Toby Greene,1310,GWS Giants,FWD,23,96.84879788
Aaron Hall,1314,Gold Coast Suns,MID,26,109.3162924
Joel Hamling,1316,Fremantle,DEF,23,64.6342613
Curtly Hampton,1317,Adelaide Crows,DEF,23,53.0653814
Nick Haynes,1319,GWS Giants,DEF,24,96.59318886
Bradley Hill,1321,Fremantle,"MID,FWD",23,67.49238688
Jack Hombsch,1322,Port Adelaide,DEF,23,83.77644858
Lin Jong,1326,Western Bulldogs,"MID,FWD",23,89.62617567
Adam Kennedy,1330,GWS Giants,DEF,24,59.37708357
Sam Kerridge,1331,Carlton,MID,23,86.25362893
Shane Kersten,1332,Fremantle,FWD,23,69.49623246
Rory Laird,1333,Adelaide Crows,DEF,23,114.352333
Billy Longer,1338,St Kilda,RUC,23,85.13442094
Jackson Merrett,1348,Essendon,"MID,FWD",23,73.97625646
Anthony Miles,1351,Richmond,MID,24,102.8090054
Darren Minchington,1352,St Kilda,FWD,23,64.3630686
Tom Mitchell,1353,Hawthorn,MID,23,113.1960176
Steven Morris,1356,Richmond,DEF,28,55.125
Jordan Murdoch,1357,Geelong Cats,FWD,24,69.4307034
Lachie Neale,1358,Fremantle,MID,23,134.8001232
Jack Newnes,1361,St Kilda,MID,23,98.99903383
Jonathon Patton,1367,GWS Giants,FWD,23,73.86772719
Andrew Phillips,1369,Carlton,RUC,25,57.45793585
Jack Redpath,1370,Western Bulldogs,FWD,26,69.71446875
Sebastian Ross,1372,St Kilda,MID,23,107.3083052
Sam Rowe,1373,Carlton,DEF,29,57.45454545
Alex Sexton,1379,Gold Coast Suns,MID,23,69.81370715
Tommy Sheridan,1382,Fremantle,DEF,23,74.41489555
Dylan Shiel,1384,GWS Giants,MID,23,110.9756898
Clay Smith,1385,Western Bulldogs,FWD,23,70.68420226
Devon Smith,1386,GWS Giants,FWD,23,88.52935184
Lee Spurr,1388,Fremantle,DEF,29,85.31818182
Cameron Sutcliffe,1392,Fremantle,DEF,24,81.02201924
Michael Talia,1394,Sydney Swans,DEF,23,81.77679698
Adam Tomlinson,1395,GWS Giants,DEF,23,62.06630075
Adam Treloar,1397,Collingwood,MID,23,126.585815
Dom Tyson,1401,Melbourne,MID,23,105.0563232
Jimmy Webster,1406,St Kilda,DEF,23,73.97625646
Marley Williams,1409,North Melbourne,DEF,23,63.34038904
Nathan Wilson,1410,GWS Giants,DEF,24,76.44089257
Chad Wingard,1412,Port Adelaide,FWD,23,80.02751635
Elliot Yeo,1418,West Coast Eagles,"MID,FWD",23,87.03118395
Dayne Zorko,1419,Brisbane Lions,MID,27,120.2839973
Rory Atkins,1422,Adelaide Crows,MID,22,77.70824416
Kaiden Brand,1426,Hawthorn,DEF,22,62.73108404
Tom Clurey,1432,Port Adelaide,DEF,22,60.64712931
Brad Crouch,1436,Adelaide Crows,MID,23,93.14063711
Joe Daniher,1438,Essendon,FWD,22,77.93586058
Jack Frost,1443,Brisbane Lions,DEF,24,67.40648464
Martin Gleeson,1445,Essendon,DEF,22,75.56409753
Nick Graham,1447,Carlton,"MID,FWD",22,80.95557168
Brodie Grundy,1449,Collingwood,RUC,22,110.6909466
Kyle Hartigan,1452,Adelaide Crows,DEF,25,68.73789158
Lachie Hunter,1458,Western Bulldogs,MID,22,107.8446576
Mark Hutchings,1459,West Coast Eagles,MID,25,75.2312421
Brandon Jack,1460,Sydney Swans,"MID,FWD",22,53.19142717
Kristian Jaksch,1461,Carlton,"DEF,FWD",22,55.41700989
Ben Kennedy,1463,Melbourne,FWD,22,69.57171604
Dean Kent,1464,Melbourne,FWD,22,70.35623395
Jake Lloyd,1467,Sydney Swans,"DEF,MID",23,93.77606322
Jesse Lonergan,1468,Gold Coast Suns,MID,22,73.51099746
Jack Macrae,1469,Western Bulldogs,"MID,FWD",22,105.6595399
Sam Mayes,1472,Brisbane Lions,DEF,22,77.73642524
Tim Membrey,1477,St Kilda,FWD,22,80.23880313
Troy Menzel,1478,Adelaide Crows,FWD,22,51.22019675
Sam Naismith,1482,Sydney Swans,RUC,24,75.02260772
Jake Neade,1483,Port Adelaide,FWD,22,58.3233591
Adam Oxley,1489,Collingwood,DEF,24,78.52281932
Lachie Plowman,1492,Carlton,DEF,22,61.77749106
Dane Rampe,1494,Sydney Swans,DEF,26,94.1900691
Callum Sinclair,1504,Sydney Swans,"RUC,FWD",27,70.87891202
James Stewart,1507,Essendon,FWD,22,49.76745374
Jake Stringer,1508,Western Bulldogs,FWD,22,74.79715001
Matt Taberner,1510,Fremantle,FWD,23,66.66968367
Jackson Thurlow,1513,Geelong Cats,DEF,22,74.53359416
Jimmy Toumpas,1514,Port Adelaide,MID,23,70.2489547
Dean Towers,1515,Sydney Swans,FWD,26,72.56727461
Jack Viney,1517,Melbourne,MID,22,110.4524913
Nick Vlastuin,1518,Richmond,DEF,22,77.27457499
Lachie Whitfield,1520,GWS Giants,MID,22,86.76258556
Zac Williams,1523,GWS Giants,DEF,22,93.14063711
Ollie Wines,1524,Port Adelaide,MID,22,107.2528549
Mason Wood,1525,North Melbourne,FWD,23,85.00384668
Blake Acres,1528,St Kilda,"MID,FWD",21,84.87072912
James Aish,1529,Collingwood,MID,21,81.55679488
Aliir Aliir,1530,Sydney Swans,DEF,22,77.31674392
Patrick Ambrose,1531,Essendon,DEF,25,65.35178854
Karl Amon,1532,Port Adelaide,"MID,FWD",21,67.43695303
Tom Barrass,1535,West Coast Eagles,DEF,21,83.34628874
Jack Billings,1539,St Kilda,"MID,FWD",21,88.76812344
Marcus Bontempelli,1540,Western Bulldogs,MID,21,121.4928154
Tom Boyd,1542,Western Bulldogs,"RUC,FWD",21,74.30967908
Ben Brown,1543,North Melbourne,FWD,24,80.10122799
Ciaran Byrne,1544,Carlton,DEF,22,70.56108872
Darcy Byrne-Jones,1545,Port Adelaide,DEF,21,72.91574583
Charlie Cameron,1546,Adelaide Crows,FWD,22,70.16149546
Patrick Cripps,1548,Carlton,MID,21,134.5797427
Matt Crouch,1549,Adelaide Crows,MID,21,116.1026059
Tom Cutler,1550,Brisbane Lions,DEF,21,88.02838907
Trent Dumont,1551,North Melbourne,MID,21,91.55834954
Luke Dunstan,1552,St Kilda,MID,22,86.7169107
Orazio Fantasia,1554,Essendon,FWD,21,85.17190791
Darcy Gardiner,1559,Brisbane Lions,DEF,21,62.75485269
Sam Gray,1563,Port Adelaide,MID,25,92.34009687
James Harmes,1565,Melbourne,DEF,21,79.36605188
Billy Hartung,1566,Hawthorn,MID,22,78.51566473
George Hewett,1570,Sydney Swans,FWD,21,69.33062974
Jesse Hogan,1571,Melbourne,FWD,21,91.45329118
Jayden Hunt,1575,Melbourne,DEF,21,69.5541552
Jarman Impey,1576,Port Adelaide,FWD,21,65.52489111
Zak Jones,1579,Sydney Swans,DEF,21,69.9688592
Jake Kelly,1581,Adelaide Crows,DEF,22,64.53208973
Joshua Kelly,1582,GWS Giants,MID,21,104.143862
Jay Kennedy-Harris,1583,Melbourne,FWD,21,43.4350604
Riley Knight,1585,Adelaide Crows,FWD,21,60.42605933
Jake Kolodjashnij,1586,Geelong Cats,DEF,21,66.06419063
Kade Kolodjashnij,1587,Gold Coast Suns,DEF,21,87.72648456
Darcy Lang,1588,Geelong Cats,FWD,21,70.93862856
Jack Leslie,1592,Gold Coast Suns,DEF,21,54.78792804
Sam Lloyd,1593,Richmond,FWD,26,71.06859493
Rory Lobb,1594,GWS Giants,FWD,23,84.65960544
Jack Martin,1599,Gold Coast Suns,"DEF,FWD",22,90.8229411
Cam McCarthy,1600,Fremantle,FWD,21,56.81030122
Luke McDonald,1601,North Melbourne,DEF,21,73.98734097
Daniel McStay,1602,Brisbane Lions,DEF,21,72.07002614
Zach Merrett,1603,Essendon,MID,21,139.3431836
Alex Pearce,1607,Fremantle,DEF,21,63.42897709
Christian Salem,1614,Melbourne,DEF,21,80.66511217
Matt Scharenberg,1615,Collingwood,DEF,21,60.94697364
James Sicily,1618,Hawthorn,FWD,22,69.00896154
Lewis Taylor,1622,Brisbane Lions,FWD,21,66.4770515
Harris Andrews,1634,Brisbane Lions,DEF,20,80.5109672
Logan Austin,1635,Port Adelaide,DEF,21,60.77147844
Connor Blakely,1637,Fremantle,MID,20,90.45357389
Angus Brayshaw,1639,Melbourne,"MID,FWD",21,79.75504423
Nakia Cockatoo,1646,Geelong Cats,FWD,20,71.94515949
Mason Cox,1648,Collingwood,FWD,25,66.58309874
Caleb Daniel,1651,Western Bulldogs,"MID,FWD",20,87.87895983
Jordan de Goey,1654,Collingwood,"MID,FWD",20,85.44838012
Liam Duggan,1659,West Coast Eagles,MID,20,59.41417075
Corey Ellis,1661,Richmond,DEF,20,74.63598309
Hugh Goddard,1671,St Kilda,DEF,20,60.62946061
Cory Gregson,1675,Geelong Cats,FWD,20,63.25508684
Isaac Heeney,1680,Sydney Swans,FWD,20,87.338831
Daniel Howe,1683,Hawthorn,"DEF,MID",21,80.74784561
Kane Lambert,1687,Richmond,FWD,25,65.28406649
Ed Langdon,1688,Fremantle,"MID,FWD",21,68.97029612
Kyle Langford,1689,Essendon,"MID,FWD",20,81.71831399
Jayden Laverde,1691,Essendon,FWD,20,69.1364896
Jake Lever,1692,Adelaide Crows,DEF,20,81.01932375
Brayden Maynard,1698,Collingwood,DEF,20,79.72301457
Oscar McDonald,1700,Melbourne,DEF,20,82.60370164
Mitchell McGovern,1701,Adelaide Crows,FWD,22,64.00140041
Daniel McKenzie,1706,St Kilda,DEF,20,66.01574528
Toby McLean,1709,Western Bulldogs,FWD,21,89.93144936
Connor Menadue,1711,Richmond,MID,20,64.50681395
Touk Miller,1713,Gold Coast Suns,"MID,FWD",20,89.36131338
Darcy Moore,1715,Collingwood,FWD,21,66.65825146
Christian Petracca,1723,Melbourne,FWD,21,84.48545081
Adam Saad,1731,Gold Coast Suns,DEF,22,69.10434366
Jayden Short,1732,Richmond,DEF,21,70.35177946
Jack Sinclair,1733,St Kilda,FWD,21,65.08364606
Jack Steele,1737,St Kilda,"MID,FWD",21,83.06438217
Billy Stretch,1738,Melbourne,MID,20,82.0995814
Aaron Vandenberg,1739,Melbourne,FWD,24,63.18454266
Lachlan Weller,1747,Fremantle,FWD,20,72.7209809
Peter Wright,1751,Gold Coast Suns,FWD,20,88.64467187
Marcus Adams,1752,Western Bulldogs,DEF,23,90.40487311
Callum Ah Chee,1753,Gold Coast Suns,FWD,19,74.73970996
Samuel Collins,1765,Fremantle,DEF,22,80.70519362
Josh Dunkley,1774,Western Bulldogs,"MID,FWD",20,90.07686866
Jade Gresham,1786,St Kilda,FWD,19,72.16247858
Michael Hartley,1788,Essendon,DEF,23,73.61639628
Jacob Hopper,1794,GWS Giants,"MID,FWD",19,85.04863547
Ben Keays,1801,Brisbane Lions,FWD,19,63.35693804
Oleg Markov,1813,Richmond,DEF,20,78.04861521
Rhys Mathieson,1814,Brisbane Lions,MID,20,95.35728892
Anthony McDonald-Tipungwuti,1815,Essendon,DEF,23,76.90202441
Wayne Milera,1818,Adelaide Crows,FWD,19,65.28986158
Callum Mills,1819,Sydney Swans,DEF,19,96.1593663
