#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_FirstHalf","2012_SecondHalf","2013_FirstHalf","2013_SecondHalf","2014_FirstHalf","2014_SecondHalf","2015_FirstHalf","2015_SecondHalf","2016_FirstHalf","2016_SecondHalf"
"Sam Mitchell","445","West Coast Eagles","MID","34","101.4819975","119","116.909090909091","103.454545454545","107.7","106.428571428571","97","113.090909090909","115","110.7","107.3"
"Angus Monfries","447","Port Adelaide","FWD","30","68","59.1428571428571","84.2727272727273","92.0833333333333","88.1","52.75","82.6666666666667","68.75","67.4545454545455",,
"Leigh Montagna","448","St Kilda","DEF","33","94.62624951","106.818181818182","96.1818181818182","123.909090909091","111.1","79.0909090909091","120.555555555556","110.272727272727","123.333333333333","102.454545454545","100.818181818182"
"Dale Morris","455","Western Bulldogs","DEF","34","71.83612185",,,"67.5","73.8","73.5","64","69.9","65.3333333333333","66.5","84.9090909090909"
"David Mundy","461","Fremantle","MID","31","93.51653996","101.818181818182","85.4444444444444","114","103.8","105.416666666667","105.1","122.3","126.909090909091","102.909090909091","96.5714285714286"
"Marc Murphy","463","Carlton","MID","29","82.7","123.625","113.625","91.4","105.727272727273","103.3","122.1","114.3","105.444444444444",,"82.7"
"Danyle Pearce","497","Fremantle","MID","30","82.13636364","71.0909090909091","83.7777777777778","85.0833333333333","76.3","83","78.2","72.4","84.5454545454545","86.8181818181818","77.4545454545455"
"Scott Pendlebury","498","Collingwood","MID","29","126.4545455","131.875","128.6","139.545454545455","129","129","132.9","125.090909090909","127.727272727273","125.727272727273","127.181818181818"
"Matt Priddis","517","West Coast Eagles","MID","31","111.3242882","117.083333333333","107.625","115.5","105.818181818182","126.25","119.2","113.909090909091","117.181818181818","120.818181818182","118.2"
"Ben Reid","526","Collingwood","DEF","27","90.26469341","76.1818181818182","73.5","82.3","86.0909090909091","35.25",,"73.2",,"80.5","95.7777777777778"
"Nick Riewoldt","535","St Kilda","FWD","34","107.5558435","84.5","109.636363636364","102.1","113.454545454545","96.4166666666667","100.8","97.1","95","117.5","113.727272727273"
"Jack Riewoldt","536","Richmond","FWD","28","86.18181818","93.1818181818182","87.0909090909091","78.7272727272727","82.6","73.5833333333333","90.7","79.25","92.5","79.7272727272727","92.6363636363636"
"Michael Rischitelli","538","Gold Coast Suns","MID","31","80.068365","76.2","74","93.6666666666667","77.75","79.4545454545455","80.4","102.9","99.8181818181818","75.75","91.125"
"Matt Rosa","548","Gold Coast Suns","MID","30","75.86666667","89.375","102","77.5","70.6","93.4","95.5555555555556","77.7","92.5","69.5","83.1428571428571"
"Jarryd Roughead","549","Hawthorn","FWD","30","100.6","113.4","101.5","97.1666666666667","101.5","106.181818181818","90.6666666666667","103.3","97.9",,
"Patrick Ryder","555","Port Adelaide","RUC,FWD","28","90.44444444","95.25","106.727272727273","92.7","92.7142857142857","107.916666666667","111.125","92","88.5",,
"Joel Selwood","575","Geelong Cats","MID","28","118.7727273","120.5","131","143.090909090909","116.090909090909","133.916666666667","130.9","120.777777777778","116","123","114.545454545455"
"Heath Shaw","578","GWS Giants","DEF","31","107.1528014","93.2727272727273","105.714285714286","88.7272727272727","99","91.5555555555556","91.7777777777778","119.636363636364","107.272727272727","105","125.181818181818"
"Kade Simpson","587","Carlton","DEF","32","103.4286914","88.375","109.363636363636","111.545454545455","88.6363636363636","90.3333333333333","117.9","91.5833333333333","99.625","111.454545454545","110.727272727273"
"Nick Smith","594","Sydney Swans","DEF","28","70.66666667","78.5","71.2222222222222","72.5","70.0909090909091","84.8","72.5","78.6","81.2","73.9090909090909","67.1"
"Brent Stanton","602","Essendon","MID","30","110.1363636","88","138.545454545455","102.181818181818","114.6","95.8333333333333","112.1","114.818181818182","105.454545454545",,
